"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct"
"5370224.02","2021S05075370224.02","0224.02",83.5286,"35",1,114882.0165,1148820165.94531,177180.874408725,0,16545.5344896282,0
"5500101.00","2021S05075500101.00","0101.00",214.8178,"35",1,114882.0165,1148820165.94531,177180.874408725,0,3574.60427501658,0
"5370081.00","2021S05075370081.00","0081.00",0.9855,"35",1,114882.0165,1148820165.94531,177180.874408725,176003.395637348,1038441.43806362,16.9488031954446
"5370082.00","2021S05075370082.00","0082.00",1.1503,"35",1,114882.0165,1148820165.94531,177180.874408725,174819.405508222,1211947.7533206,14.4246651746526
"5370083.00","2021S05075370083.00","0083.00",0.8586,"35",1,114882.0165,1148820165.94531,177180.874408725,17669.0577180094,904678.075970872,1.95307681122343
"5370121.00","2021S05075370121.00","0121.00",63.2329,"35",1,114882.0165,1148820165.94531,177180.874408725,106663.349580105,66900989.3311724,0.159434637135337
"5370124.00","2021S05075370124.00","0124.00",14.6299,"35",1,114882.0165,1148820165.94531,177180.874408725,73108.8114969542,15457151.0877503,0.472977271697192
"5370131.00","2021S05075370131.00","0131.00",11.5088,"35",1,114882.0165,1148820165.94531,177180.874408725,238812.663240736,13521363.5645963,1.76618772285682
"5370132.00","2021S05075370132.00","0132.00",1.1019,"35",1,114882.0165,1148820165.94531,177180.874408725,133085.642080823,1160350.19276299,11.4694376672549
"5370141.00","2021S05075370141.00","0141.00",38.0264,"35",1,114882.0165,1148820165.94531,177180.874408725,532437.161514769,40655399.3315336,1.30963456335256
"5370143.00","2021S05075370143.00","0143.00",78.5762,"35",1,114882.0165,1148820165.94531,177180.874408725,121564.605180931,83097736.4146953,0.146291115048272
"5430101.00","2021S05075430101.00","0101.00",101.7545,"35",1,114882.0165,1148820165.94531,177180.874408725,0,20697.6511242358,0
"5350620.13","2021S05075350620.13","0620.13",126.5048,"35",1,114882.0165,1148820165.94531,177180.874408725,0,7784.89423025038,0
"5370120.03","2021S05075370120.03","0120.03",2.3119,"35",1,114882.0165,1148820165.94531,177180.874408725,170649.510263537,2436448.18376765,7.00402788782682
"5370120.04","2021S05075370120.04","0120.04",3.2749,"35",1,114882.0165,1148820165.94531,177180.874408725,242217.788234851,3450591.93671336,7.01960106200096
"5370300.00","2021S05075370300.00","0300.00",45.898,"35",1,114882.0165,1148820165.94531,177180.874408725,0,8113.47472084475,0
"5370001.01","2021S05075370001.01","0001.01",5.5072,"35",1,114882.0165,1148820165.94531,177180.874408725,518733.702342899,5812381.13783692,8.92463329643153
"5370001.02","2021S05075370001.02","0001.02",1.2922,"35",1,114882.0165,1148820165.94531,177180.874408725,58173.0652135971,1361899.10237696,4.27146659485024
