"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct","Shape Area","Type","Households","Quality Flags","Dwellings 2016","name","CMA_UID","Population","Households 2016","Dwellings","CSD_UID","Population 2016","CD_UID","Region Name","Area (sq km)","med_income"
"5370040.00","2021S05075370040.00","0040.00",0.3404,"35",1,114882.0165,1148820165.94531,177180.874408725,44196.33033594,358519.922575547,12.3274405557273,0.3404,"CT",1025,"0",1107,"0040.00","35537",2006,1055,1088,"3525005",1984,"3525","0040.00",0.3404,73000
"5370041.00","2021S05075370041.00","0041.00",0.4096,"35",1,114882.0165,1148820165.94531,177180.874408725,4759.87592549943,431417.113170211,1.10331180201038,0.4096,"CT",1224,"0",1252,"0041.00","35537",2327,1079,1363,"3525005",2168,"3525","0041.00",0.4096,56000
"5370042.00","2021S05075370042.00","0042.00",1.5176,"35",1,114882.0165,1148820165.94531,177180.874408725,44582.9957547069,1598347.99676429,2.78931721032973,1.5176,"CT",1307,"0",1312,"0042.00","35537",2853,1226,1439,"3525005",2688,"3525","0042.00",1.5176,83000
"5370043.00","2021S05075370043.00","0043.00",1.8794,"35",1,114882.0165,1148820165.94531,177180.874408725,229008.831222339,1979488.03514733,11.5690939857231,1.8794,"CT",1869,"0",2413,"0043.00","35537",4305,1493,2523,"3525005",3587,"3525","0043.00",1.8794,58000
"5370044.00","2021S05075370044.00","0044.00",1.1718,"35",1,114882.0165,1148820165.94531,177180.874408725,0,1234268.23775185,0,1.1718,"CT",2029,"0",2203,"0044.00","35537",3917,1973,2211,"3525005",3650,"3525","0044.00",1.1718,56400
"5370045.00","2021S05075370045.00","0045.00",3.2338,"35",1,114882.0165,1148820165.94531,177180.874408725,180850.091566658,3469315.83717652,5.21284599195907,3.2338,"CT",1357,"0",1944,"0045.00","35537",3285,1157,1913,"3525005",2936,"3525","0045.00",3.2338,82000
"5370046.00","2021S05075370046.00","0046.00",1.2503,"35",1,114882.0165,1148820165.94531,177180.874408725,470459.793895378,1722295.97144926,27.3158505677454,1.2503,"CT",1515,"0",1610,"0046.00","35537",3547,1389,1626,"3525005",3353,"3525","0046.00",1.2503,71000
"5370047.00","2021S05075370047.00","0047.00",1.2333,"35",1,114882.0165,1148820165.94531,177180.874408725,210841.006487065,1300240.16308869,16.2155432874967,1.2333,"CT",1721,"0",1797,"0047.00","35537",3131,1685,1836,"3525005",3140,"3525","0047.00",1.2333,54400
"5370048.00","2021S05075370048.00","0048.00",0.3705,"35",1,114882.0165,1148820165.94531,177180.874408725,35200.4219581385,390185.502570137,9.02145818495936,0.3705,"CT",969,"0",1062,"0048.00","35537",1930,950,1065,"3525005",1898,"3525","0048.00",0.3705,48000
"5370049.00","2021S05075370049.00","0049.00",0.4456,"35",1,114882.0165,1148820165.94531,177180.874408725,24007.2242264621,469268.547653104,5.1158818008423,0.4456,"CT",1619,"0",1538,"0049.00","35537",3191,1193,1920,"3525005",2422,"3525","0049.00",0.4456,42000
